backend,sample_idx,sample_rel,feature_idx,shape,max_abs,mean_abs,p95_abs,cosine,relative_l2
trt_fp32_default,6,val/good/1_833.bmp,0,1x1024x16x16,0.0017346739768981934,5.440435779746622e-05,0.0001718355342745781,0.9999990463256836,0.0014270237879827619
trt_fp32_default,6,val/good/1_833.bmp,1,1x1024x16x16,0.0029974281787872314,0.0001274682581424713,0.0003257201751694083,0.9999983906745911,0.0018028923077508807
trt_fp32_default,6,val/good/1_833.bmp,2,1x1024x16x16,0.07643890380859375,0.0004800409951712936,0.0012859420385211706,0.9999986290931702,0.001738803111948073
trt_fp32_default,6,val/good/1_833.bmp,3,1x1024x16x16,0.15848255157470703,0.005865240003913641,0.015421893447637558,0.9999945759773254,0.00333902589045465
trt_fp32_default,7,val/good/1_838.bmp,0,1x1024x16x16,0.0017365217208862305,5.389257785282098e-05,0.00017105945153161883,0.9999989867210388,0.0014192693633958697
trt_fp32_default,7,val/good/1_838.bmp,1,1x1024x16x16,0.0026467740535736084,0.00012636600877158344,0.00032081364770419896,0.9999983310699463,0.0017819327767938375
trt_fp32_default,7,val/good/1_838.bmp,2,1x1024x16x16,0.053680419921875,0.0004670064081437886,0.0012432255316525698,0.9999986886978149,0.0016189294401556253
trt_fp32_default,7,val/good/1_838.bmp,3,1x1024x16x16,0.1898040771484375,0.005939248949289322,0.01560157909989357,0.9999948143959045,0.003354014130309224
trt_fp32_default,8,val/good/1_845.bmp,0,1x1024x16x16,0.0015677809715270996,5.265704385237768e-05,0.00016868370585143566,0.9999989867210388,0.001390748075209558
trt_fp32_default,8,val/good/1_845.bmp,1,1x1024x16x16,0.0021623969078063965,0.0001242484722752124,0.0003187005640938878,0.9999985098838806,0.0017507720040157437
trt_fp32_default,8,val/good/1_845.bmp,2,1x1024x16x16,0.0647125244140625,0.0004728858475573361,0.0012694032629951835,0.9999986886978149,0.0016936308238655329
trt_fp32_default,8,val/good/1_845.bmp,3,1x1024x16x16,0.23901081085205078,0.006579850800335407,0.017724990844726562,0.9999931454658508,0.0037945490330457687
trt_fp32_default,9,val/good/1_848.bmp,0,1x1024x16x16,0.0017585158348083496,5.5147473176475614e-05,0.00017720804316923022,0.999998927116394,0.0014455638593062758
trt_fp32_default,9,val/good/1_848.bmp,1,1x1024x16x16,0.0035430192947387695,0.00012675588368438184,0.00032385322265326977,0.9999985694885254,0.0017884401604533195
trt_fp32_default,9,val/good/1_848.bmp,2,1x1024x16x16,0.02203369140625,0.0004652481584344059,0.0012404252775013447,0.9999987483024597,0.0015645753592252731
trt_fp32_default,9,val/good/1_848.bmp,3,1x1024x16x16,0.2481069564819336,0.00604914128780365,0.015979252755641937,0.9999943971633911,0.003412801306694746
trt_fp32_default,10,test/defect/2_58.bmp,0,1x1024x16x16,0.001703605055809021,5.4121283028507605e-05,0.00017247142386622727,0.9999989867210388,0.0014236584538593888
trt_fp32_default,10,test/defect/2_58.bmp,1,1x1024x16x16,0.002071768045425415,0.00012474239338189363,0.0003184291999787092,0.9999985694885254,0.001752177719026804
trt_fp32_default,10,test/defect/2_58.bmp,2,1x1024x16x16,0.02834320068359375,0.0004774712142534554,0.001270890235900879,0.9999987483024597,0.0015991453547030687
trt_fp32_default,10,test/defect/2_58.bmp,3,1x1024x16x16,0.20017242431640625,0.0067540863528847694,0.01765882410109043,0.9999932050704956,0.003801680402830243
trt_fp32_default,11,test/defect/2_62.bmp,0,1x1024x16x16,0.0016467869281768799,5.460231477627531e-05,0.0001722433080431074,0.999998927116394,0.0014437485951930285
trt_fp32_default,11,test/defect/2_62.bmp,1,1x1024x16x16,0.0024632811546325684,0.0001286790065933019,0.0003275189083069563,0.9999984502792358,0.0018077533459290862
trt_fp32_default,11,test/defect/2_62.bmp,2,1x1024x16x16,0.03261566162109375,0.00048181027523241937,0.0012772930786013603,0.9999986886978149,0.001657641027122736
trt_fp32_default,11,test/defect/2_62.bmp,3,1x1024x16x16,0.24512767791748047,0.005930359475314617,0.015529695898294449,0.9999942779541016,0.003478105179965496
