stage,alpha,threshold,calib_precision,calib_recall,calib_f1,calib_accuracy,calib_fpr,test_precision,test_recall,test_f1,test_accuracy,test_fpr,test_tp,test_fp,test_tn,test_fn,auc_roc,auc_pr
S5,0.52,3.120265274105464,0.8372093023255814,0.7346938775510204,0.782608695652174,0.8657718120805369,0.07,0.8888888888888888,0.8,0.8421052631578948,0.916,0.03888888888888889,56,7,173,14,0.9813492063492063,0.943265015453718
S5,0.53,3.1731174935195705,0.8372093023255814,0.7346938775510204,0.782608695652174,0.8657718120805369,0.07,0.8870967741935484,0.7857142857142857,0.8333333333333333,0.912,0.03888888888888889,55,7,173,15,0.9814285714285714,0.9435322652107636
S5,0.54,3.2259697129336766,0.8372093023255814,0.7346938775510204,0.782608695652174,0.8657718120805369,0.07,0.9016393442622951,0.7857142857142857,0.8396946564885497,0.916,0.03333333333333333,55,6,174,15,0.9815873015873016,0.9445096424943027
S5,0.55,3.2788219323477823,0.8372093023255814,0.7346938775510204,0.782608695652174,0.8657718120805369,0.07,0.9016393442622951,0.7857142857142857,0.8396946564885497,0.916,0.03333333333333333,55,6,174,15,0.9813492063492063,0.9437295504877264
S5,0.56,3.331674151761889,0.8372093023255814,0.7346938775510204,0.782608695652174,0.8657718120805369,0.07,0.9016393442622951,0.7857142857142857,0.8396946564885497,0.916,0.03333333333333333,55,6,174,15,0.9812698412698413,0.9435607886871562
S5,0.57,3.3754391624066127,0.8372093023255814,0.7346938775510204,0.782608695652174,0.8657718120805369,0.07,0.9,0.7714285714285715,0.8307692307692307,0.912,0.03333333333333333,54,6,174,16,0.981111111111111,0.942757704502348
S5,0.58,3.392442210131655,0.8372093023255814,0.7346938775510204,0.782608695652174,0.8657718120805369,0.07,0.9,0.7714285714285715,0.8307692307692307,0.912,0.03333333333333333,54,6,174,16,0.9807936507936508,0.9420760097605848
S5,0.59,3.4902308100042063,0.875,0.7142857142857143,0.7865168539325842,0.87248322147651,0.05,0.8983050847457628,0.7571428571428571,0.8217054263565892,0.908,0.03333333333333333,53,6,174,17,0.9804761904761904,0.940948357212499
S5,0.6,3.5430830294183124,0.875,0.7142857142857143,0.7865168539325842,0.87248322147651,0.05,0.8983050847457628,0.7571428571428571,0.8217054263565892,0.908,0.03333333333333333,53,6,174,17,0.9805555555555555,0.9411094742909094
S5,0.61,3.5726563922808965,0.875,0.7142857142857143,0.7865168539325842,0.87248322147651,0.05,0.8983050847457628,0.7571428571428571,0.8217054263565892,0.908,0.03333333333333333,53,6,174,17,0.9802380952380952,0.9398931366545729
S5,0.62,3.556639716729549,0.875,0.7142857142857143,0.7865168539325842,0.87248322147651,0.05,0.8983050847457628,0.7571428571428571,0.8217054263565892,0.908,0.03333333333333333,53,6,174,17,0.9801587301587301,0.9397447304086057
S5,0.63,3.5406230411782014,0.8536585365853658,0.7142857142857143,0.7777777777777778,0.8657718120805369,0.06,0.8983050847457628,0.7571428571428571,0.8217054263565892,0.908,0.03333333333333333,53,6,174,17,0.9797619047619047,0.9385457013641788
S5,0.64,3.4944604964819095,0.8181818181818182,0.7346938775510204,0.7741935483870968,0.8590604026845637,0.08,0.8870967741935484,0.7857142857142857,0.8333333333333333,0.912,0.03888888888888889,55,7,173,15,0.9796031746031746,0.9378846307098119
